repo_name,risk_score,risk_rating,total_findings,critical_count,high_count,dynamic_vulns,maintainer_contact
InjectiveLabs/mcp-server,100.0,critical,210,19,16,0,https://github.com/InjectiveLabs/mcp-server/issues
agenticvault/agentic-vault,100.0,critical,559,339,58,0,https://github.com/agenticvault/agentic-vault/issues
nirholas/UCAI,100.0,critical,153,49,8,0,https://github.com/nirholas/UCAI/issues
nirholas/free-crypto-news,100.0,critical,273,32,16,0,https://github.com/nirholas/free-crypto-news/issues
wallet-agent/wallet-agent,100.0,critical,896,202,535,0,https://github.com/wallet-agent/wallet-agent/issues
dennisonbertram/mcp-web3-wallet-tester,97.6,critical,103,64,13,0,https://github.com/dennisonbertram/mcp-web3-wallet-tester/issues
bnb-chain/bnbchain-mcp,93.5,critical,101,2,54,0,https://github.com/bnb-chain/bnbchain-mcp/issues
dcSpark/mcp-cryptowallet-evm,91.1,critical,67,41,4,0,https://github.com/dcSpark/mcp-cryptowallet-evm/issues
efekucuk/etherlink-mcp-server,85.8,critical,63,9,9,0,https://github.com/efekucuk/etherlink-mcp-server/issues
mcpdotdirect/evm-mcp-server,85.8,critical,63,9,9,0,https://github.com/mcpdotdirect/evm-mcp-server/issues
trailofbits/slither-mcp,84.1,critical,46,2,40,0,https://github.com/trailofbits/slither-mcp/issues
alpacahq/alpaca-mcp-server,82.3,critical,40,0,40,0,https://github.com/alpacahq/alpaca-mcp-server/issues
hydra-mcp/hydra-mcp-solana,79.9,high,37,11,5,0,https://github.com/hydra-mcp/hydra-mcp-solana/issues
base/base-mcp,79.6,high,43,0,13,0,https://github.com/base/base-mcp/issues
nirholas/pump-fun-sdk,78.5,high,39,0,14,0,https://github.com/nirholas/pump-fun-sdk/issues
zhangzhongnan928/mcp-blockchain-server,76.9,high,35,5,2,0,https://github.com/zhangzhongnan928/mcp-blockchain-server/issues
caiovicentino/polymarket-mcp-server,76.7,high,34,1,11,0,https://github.com/caiovicentino/polymarket-mcp-server/issues
dcSpark/mcp-cryptowallet-solana,73.5,high,23,8,3,0,https://github.com/dcSpark/mcp-cryptowallet-solana/issues
armorwallet/armor-crypto-mcp,73.3,high,27,0,10,0,https://github.com/armorwallet/armor-crypto-mcp/issues
Suryansh-23/hyperlane-mcp,69.8,high,20,0,10,0,https://github.com/Suryansh-23/hyperlane-mcp/issues
waifuai/mcp-solana-ico,68.6,high,22,0,2,0,https://github.com/waifuai/mcp-solana-ico/issues
NFTGo/mcp-nftgo-api,67.6,high,12,9,1,0,https://github.com/NFTGo/mcp-nftgo-api/issues
waifuai/mcp-solana-dex,66.6,high,19,0,2,0,https://github.com/waifuai/mcp-solana-dex/issues
solanamcp/solana-mcp,61.5,high,10,0,8,0,https://github.com/solanamcp/solana-mcp/issues
IQAIcom/mcp-defillama,60.4,high,13,0,0,0,https://github.com/IQAIcom/mcp-defillama/issues
